candidate_id,archive_target_label,canonical_target_id,identity_status,identity_provenance,archive_target_present,queue_status,local_coverage_status,target_selection_score,ranking_eligible,eligibility_reason,ra_deg,dec_deg,source_endpoint,retrieved_at_utc,schema_version
BLARCHIVE-0F09732287BEA2D0110A,0003-066,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-BEC84FF4108D88675456,0003-066_R,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-94BD1DC8278F73EEF124,0003-066_S,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-4318E3B1C133A716D466,0407-658,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-637C37EA199D9A87FE13,0407-658_B1,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-65FECE4BEEE7DE1BA346,0407-658_B10,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-57AA161037EB66D17D47,0407-658_B11,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-0DA6E43FF341823F906C,0407-658_B12,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-7904FC47DAD86BBB2C28,0407-658_B13,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-67B0EDFCE4F82722DFE0,0407-658_B2,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-0AB2EA6D61E8FFD48DAA,0407-658_B3,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-58D722521B4EBD3BE31E,0407-658_B4,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-0048618A313E8EF79A22,0407-658_B5,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-83CC23ACE5F3ED06ACDB,0407-658_B6,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-D966C6EE582C7BAE97E7,0407-658_B7,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-B99F30784FA259EFFE50,0407-658_B8,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-D6ED472F48BA70A37923,0407-658_B9,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-0FF04AC51CEBD4BA3458,0407-658_R,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
BLARCHIVE-4A30CC74A1543AF121C3,0407-658_S,,unresolved_archive_label,no_exact_target_priority_queue_alias,true,,,,false,identity_and_file_metadata_enrichment_required,,,http://seti.berkeley.edu/opendata/api/list-targets,2026-07-19T13:59:03.811968Z,bl_archive_candidate_catalog_v1
